30001	붕괴되기 전날 밤을 꼬박 샜어요…
30002	At 14:07:47, the Honkai outbreak took effect at Senba Academy. Estimated odds of survival are 0.000000001%
250001	<i>Tuuu, tuuu...</i> The number you are dialing is currently not available. Please leave a message after the beep.
250002	(O) Beep--
250003	Hey. It's me, Kiana. I am currently at Senba Academy in Nagazora, in the Far East. I know you must be going after this Honkai outbreak. Just know that I will find you, no matter where you go!
250004	(O) Boom!
250005	Huf... I talked enough. I didn't expect this outbreak to happen so suddenly. It should be a small outbreak. Let's assume the range covers the entire Senba Academy grounds.
250006	Next, I just have to find the target before 「Schicksal」arrives - this time, I'm not letting them get away!
250007	Blaa---ah--- Whoo---oorgh---
250008	Honkai infected zombies are already roaming... Good thing I made sure to prepare weapons in advance.
250009	<i>Click-tchack</i>
250010	Weapon inspection done. It seems fine. I have ammo... I really don't know how long these old guns will last.
250011	Well~ Regardless, let's follow the plan and get out of this library.
250012	I expected it, but there really are zombies on the escape route...
250013	Human beings, infected and mutated by the Honkai... with no more emotions, no more consciousness. //nLike walking corpses. Such sad creatures.
250014	Blaa---ah--- Whoo---oorgh---
250015	I'm sorry. Even still, I can't show you mercy.//n As a final favour, I will help you sleep in peace.
250016	<i> Click- BANG- BANG- BANG!---</i>
250017	<i>Phew-</i> I finally made it out of the library. So far so good. I should follow this plan, and find the target in the disaster area A.S.A.P.
250018	I'm currently here, and I should try to avoid places where zombies are crowded. Then the most effective route would be along Sakurakouji into the center of Senba Academy campus. Let's do it!
250019	Still... The usually loud and bustling academy feels so quiet now. It's really hard to get used to. Well, from now on, I don't have to try and be ladylike and accompany the other ladies to enjoy the flowers. That's one happy thing to come out of this, for now.
250020	Ah, hold on! Now's no time to get emotional! Obviously, there are more important things to deal with right now!
250021	<i> Pip pip pip </i>
250022	Ooh! The detector on my phone found something, let me see~ There is reading for a Honkai energy source at 2 o'clock, 700 meters from here... Humph- That must be the center of this Honkai outbreak! The target must be there too!
250023	Hehe- Though I can't call you or anyone with the phone you left me, the extra features sure are effective. He probably never expected I would use this feature he designed himself to find him.
250024	All right, let's stick to the original plan!
250025	The Honkai energy source is 50 meters away now... I should be close enough to see it now.
250026	It should be right there- Tsk. Indeed, there are a lot of zombies gathered over there. Even for this girl, dealing with so many will be a challenge.
250027	Though, most zombies are dumb enough to move towards anything that makes a sound. If I use this weakness to my advantage, I can make things easier for myself.
250028	Looks like we'll have to take a detour. First, I should make a sound to attract their attention, and then go around and approach from the left side.
250029	(O) Bang!!
250030	Eh?! Wha?! What was that sound? I haven't done anything yet! Uh... Thunder?! But it was sunny just now, why did it suddenly...
250031	(O) *Zombies roar*
250032	Uh... whoops. They saw me.
250033	Ah, forget it. In that case, breaking through is the only option!
250034	<i>Hah, hah-</i> There's no end to them. I hadn't expected the zombies to come swarming to the Honkai source here. It will be a bit of a problem if this keeps going.
250035	Almost out of ammo, almost out of time... I have to find the target, fast.
250036	(O) *Weird sound*
250037	Who's there?!
250038	That figure doesn't seem like a zombie... could it be?! I finally found you! Wait!
250039	(O) ……
250040	Eh?! This is... a student? I didn't think there were still people who hadn't been infected by the Honkai...
250041	Your uniform, it's the one used for senior students. What's your name?
250042	(O) ……
250043	Hey, are you not all there? Could you like maybe... answer?
250044	(O) ……
250045	Ah... Maybe you're too scared to talk? That's okay... I can't help you right now, so you'd better find a place to hide somewhere.
250046	<i>Graaaaah!!</i>
250047	Gee, it's not safe here! If you've given up on trying to survive, then nobody can help you. Even if I take you with me, you'll just slow me down. Goodbye, don't blame me.
250048	(O) ……
250049	(O) *Zombies roar*
250050	Ugh! Just my luck. Come with me!
250051	<i>Huf...huf...</i> Seems like escorting a normal person whilst fighting zombies is a bit much... Hey, you okay?
250052	(O) ……
250053	<i> Tsk </i> I'm such an idiot. Why did I help this girl? She doesn't even say a word of thanks. And I've been busting my butt off!
250054	Just stay here. This is the old school building. The zombies won't find it for a while. I'm not staying here to help you anymore. You'll have to fend for yourself.
250055	........Why did you help me?
250056	Eh? You finally said something?
250057	A person like me should die... Maybe even being born was a mistake...
250058	Ha? What are you on about? How could someone even say that about herself?
250059	Just leave me be. You can stop pretending to care. You just approached me because of the name 'Raiden Mei'.
250060	'Raiden Mei'? I think I've heard that name before... Isn't she a celebrity in Senba Academy? The daughter of the president of ME Company! Is that you?
250061	(O) ……
250062	Oh... The same rich girl who is said to have rejected 12 boys in one day and earned the nickname 'Thunder Queen'. Yet you're looking so ashamed and dejected. What a rare sight.
250063	Are you just going to mock me too? Sure enough, everyone's rotten on the inside.
250064	Don't be mistaken, I'm not here to laugh at you. I just mean to say that instead of blaming other people or being angry at the heavens, it's better to find ways to change yourself instead.
250065	Change? That's right... It's not me who is the problem, it's this sickening world! This deceitful world should be destroyed!
250066	Uh, that doesn't seem right... Hello?! What happened to you?!
250067	(O) Bang!!!
250068	Huh? What is going on with this weather? Could it be some sort of abnormal effect caused by the Honkai outbreak?
250069	(O) *Phone rings*
250070	Gee, for the phone to react at this moment...okay! Detected high Honkai energy reading... Distance 0 meters?
250071	(O) *Beep*
250072	Huh? The signal broke? Why would this phone fail at such a critical moment! Isn't 0 meters away right next to me? There's nobody here except for a troubled rich girl!
250073	If this deceitful world is destroyed... All can return to how it was before... My father... everyone... will surely return to me.
250074	Hey, where are you going! Wait for me!//n(TN: Couldn't undestand the middle sentence, check multilanguage)
250075	(O) Bang!!!
250076	So annoying! Where did that girl go? Really... Why should I waste so much time on this stranger!
250077	And the amount of zombies keep increasing. If we go any further, we're going to be in serious trouble.....?
250078	(O) *Zombies roar*
250079	Hehehe, everyone is with me. As long as I have my father, and everyone I care about, then nothing else matters.
250080	There she is! Oh no! That girl is surrounded by zombies!
250081	(O) *Sound of firing*
250082	You bastards! Leave that girl alone!!
250083	Who are you? Have you come to ruin my happiness again?
250084	What kind of nonsense is that? I'm here to save you!
250085	Go away! I don't need your pity.
250086	(O) *Zombies roar*
250087	Ugh, what's going on with the zombies surrounding her?
250088	Everything... Everything should just DISAPPEAR! //n<size=30>(TN: This doesn't translate well to english, but in JP it's "everything... Everything everything everything should just DISAPPEAR!")</size>
