30001	XXX	<i>The night before the Honkai outbreak... I stayed up all night...</i>
30002	XXX	At 14:07:47, the Honkai outbreak took effect at Senba Academy. Estimated odds of survival are 0.000000001%
94189	XXX	{i}Huh, huh....!{/i} Those monsters aren't chasing me anymore...?
94190	XXX	The meteors that fell from the sky, and the people turning into monsters... Is this the 'Honkai' Dad was talking about?
94191	XXX	Daddy, where are you... why did you let go of Kiana's hand?! {i}Huu....{/i}
94192	XXX	*Rumble*
94193	XXX	Stop! I shouldn't be crying right now.
94194	XXX	Dad always told me. The Kaslana family has the power to beat the Honkai, and has a mission to save the world! It's Dad, so he's sure to head for the middle of the Honkai.
94195	XXX	The place where it exploded earlier is the center of the Honkai outbreak ... If I go there, I might find dad!
94196	XXX	But can I really find him by myself?
94197	XXX	That's no good! I have to be more courageous! I'm also a member of the Kaslana family. I can fight the Honkai, like Dad!
94198	XXX	*WHOOM*
94199	XXX	{i}Wuwu!{/i} These zombies... I'm not afraid of you!//n(TN: What?)
94200	XXX	This is the center of the Honkai ...?
94201	XXX	Daddy! Daddy!!! Where are you!??
94202	XXX	*rumble*
94205	XXX	Wait, is that a person?.... //n Hey~Have you seen my dad?
94207	XXX	Hello~ Can you hear me? Excuse me....
94208	XXX	Huh? What was I asking? {i}Uh,{/i} I feel dizzy...
94209	XXX	Kiana!
94210	XXX	Daddy, daddy? Is that you?
94211	XXX	Kiana, it's a relief, you aren't injured...
94212	XXX	Daddy! I finally found you... {i}Wuuuu...{/i}
94213	XXX	Kiana, listen carefully. Run away from here, right now. No matter what happens, do not stop. You must find safety!
94214	XXX	Daddy? What about daddy?!
94215	XXX	Don't worry. Daddy is the head of the Kaslana family. This kind of small Honkai outbreak won't hurt me!
94217	XXX	Haha~ It seems that Kiana is worried about me~ But don't you think you're thinking too lowly of your father?\n Don't worry. Dad will find you when he is done.
94218	XXX	Okay! It's a promise!
94219	XXX	Ah...
94220	XXX	Stupid, ignorant, arrogant, and insignificant human beings...
94222	XXX	Today, I will make the death bells toll for the human race.
94223	XXX	{i}Humph!{/i} Let's see if you can live up to those words, Herrscher!
94224	XXX	You, who made my daughter cry... I, Siegfried Kaslana, will show you no mercy!
94225	XXX	Hiyaaaaaaah!!
250001	XXX	<i>Tuuu, tuuu...</i> The number you are dialing is currently not available. Please leave a message after the beep.
250003	XXX	Hey. It's me, Kiana. I am currently at Senba Academy in Nagazora, in the Far East. I know you must be going after this Honkai outbreak. Just know that I will find you, no matter where you go!
250005	XXX	Huf... I talked enough. I didn't expect this outbreak to happen so suddenly. It should be a small outbreak. Let's assume the range covers the entire Senba Academy grounds.
250006	XXX	Next, I just have to find the target before 「Schicksal」arrives - this time, I'm not letting them get away!
250007	XXX	Blaa---ah--- Whoo---oorgh---
250008	XXX	Honkai infected zombies are already roaming... Good thing I made sure to prepare weapons in advance.
250009	XXX	<i>Click-tchack</i>
250010	XXX	Weapon inspection done. It seems fine. I have ammo... I really don't know how long these old guns will last.
250011	XXX	Well~ Regardless, let's follow the plan and get out of this library.
250012	XXX	I expected it, but there really are zombies on the escape route...
250013	XXX	Human beings, infected and mutated by the Honkai... with no more emotions, no more consciousness. //nLike walking corpses. Such sad creatures.
